"Estado,Bacia,Nome Poço,Campo,Operador,Número do Contrato,Período,Óleo (bbl/dia),Condensado (bbl/dia),Petróleo (bbl/dia),Gás Natural (Mm³/dia),Volume Gás Royalties (Mm³/dia),Água (bbl/dia),Instalação Destino,Tipo Instalação,Tempo de Produção (hs por mês),Período da Carga,Corrente,Grau API,Fração de Destilados,% em Volumes,Densidade GLP Gás,Densidade GLP Líquido,""PCS GP"
"(kJ/m³)"",Data de atualização"
"Rio de Janeiro,Santos,1-BRSA-1146-RJS,AnC_NORTE_ATAPU,Petrobras,48610012913201005,2023/01,""142,6665"",""0,0000"",""142,6665"",""7,9471"",""28,30100"",""0,1205"",Petrobras 70,UEP,287.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Rio de Janeiro,Santos,3-BRSA-1172-RJS,AnC_NORTE_ATAPU,Petrobras,48610012913201005,2023/01,""245,4686"",""0,0000"",""245,4686"",""8,8768"",""31,61200"",""0,1970"",Petrobras 70,UEP,356.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Rio de Janeiro,Santos,9-BRSA-1284-RJS,AnC_NORTE_ATAPU,Petrobras,48610012913201005,2023/01,""198,2294"",""0,0000"",""198,2294"",""6,6536"",""23,69500"",""0,1532"",Petrobras 70,UEP,317.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Rio de Janeiro,Santos,7-OATP-1-RJS,AnC_NORTE_ATAPU,Petrobras,486100038862000,2023/01,""275,1749"",""0,0000"",""275,1749"",""9,4356"",""33,60200"",""0,8583"",Petrobras 70,UEP,348.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Rio de Janeiro,Santos,9-ATP-1-RJS,AnC_NORTE_ATAPU,Petrobras,48610012913201005,2023/01,""40,7783"",""0,0000"",""40,7783"",""1,3750"",""4,89600"",""0,0110"",Petrobras 70,UEP,45.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Rio de Janeiro,Santos,7-ATP-6-RJS,AnC_NORTE_ATAPU,Petrobras,48610012913201005,2023/01,""418,5761"",""0,0000"",""418,5761"",""14,1674"",""50,45400"",""0,5306"",Petrobras 70,UEP,287.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-68-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""971,8337"",""0,0000"",""971,8337"",""31,3930"",""487,12300"",""0,9968"",Petrobras 67 (P-67),UEP,444.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-69-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.361,4783"",""0,0000"",""1.361,4783"",""45,7375"",""709,70700"",""146,8709"",Petrobras 66 (P-66),UEP,677.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-70-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""637,3438"",""0,0000"",""637,3438"",""96,3247"",""1.494,66700"",""3,7002"",Petrobras 69,UEP,657.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-79D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""604,3170"",""0,0000"",""604,3170"",""21,1945"",""328,87400"",""606,3160"",FPSO CIDADE DE ANGRA DOS REIS,UEP,678.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-80DB-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.706,3579"",""0,0000"",""1.706,3579"",""69,3569"",""1.076,20700"",""41,8810"",FPSO CIDADE DE SAQUAREMA,UEP,646.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-59-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.415,6274"",""0,0000"",""1.415,6274"",""60,0757"",""932,19200"",""122,8737"",FPSO CIDADE DE SAQUAREMA,UEP,674.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Campos,3-BRSA-1123-RJS,ALBACORA,Petrobras,480000037039702,2023/01,""6.578,6494"",""0,0000"",""6.578,6494"",""218,3833"",""6.750,02000"",""96,7884"",PETROBRAS 31,UEP,524.0,2021/02,Albacora,""27,1"",< 270ºC,""76,15"",""2,00022"",""528,07049"",""39829,551"",13/03/2023"
"Rio de Janeiro,Santos,1-BRSA-1146-RJS,OESTE DE ATAPU,Petrobras,48610012913201005,2023/01,""2.557,7863"",""0,0000"",""2.557,7863"",""142,4783"",""507,40000"",""2,1641"",Petrobras 70,UEP,287.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Rio de Janeiro,Santos,3-BRSA-1172-RJS,OESTE DE ATAPU,Petrobras,48610012913201005,2023/01,""4.400,8638"",""0,0000"",""4.400,8638"",""159,1472"",""566,76200"",""3,5320"",Petrobras 70,UEP,356.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Rio de Janeiro,Santos,9-BRSA-1284-RJS,OESTE DE ATAPU,Petrobras,48610012913201005,2023/01,""3.553,9431"",""0,0000"",""3.553,9431"",""119,2885"",""424,81500"",""2,7474"",Petrobras 70,UEP,317.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Rio de Janeiro,Santos,7-OATP-1-RJS,OESTE DE ATAPU,Petrobras,486100038862000,2023/01,""4.933,4508"",""0,0000"",""4.933,4508"",""169,1654"",""602,43900"",""15,3871"",Petrobras 70,UEP,348.0,2022/05,ATAPU,""27,7"",< 270ºC,""54,984"",""2,0092"",""529,15034"",""28503,4101"",13/03/2023"
"Espírito Santo,Campos,7-JUB-34H-ESS,JUBARTE,Petrobras,480000035609749,2023/01,""14.373,8427"",""0,0000"",""14.373,8427"",""496,7554"",""15.385,42900"",""1.759,1550"",FPSO CIDADE DE ANCHIETA,UEP,744.0,2022/12,Parque das Baleias,24,< 290ºC,""81,017"",""2,04402"",""533,31601"",""40091,4179"",13/03/2023"
"Espírito Santo,Campos,7-JUB-58DPA-ESS,JUBARTE,Petrobras,480000035609749,2023/01,""4.740,5346"",""0,0000"",""4.740,5346"",""189,5613"",""5.871,06200"",""4.570,6467"",PETROBRAS 58,UEP,744.0,2022/12,Parque das Baleias,24,< 290ºC,""81,017"",""2,04402"",""533,31601"",""40091,4179"",13/03/2023"
"Espírito Santo,Campos,7-JUB-57DPA-ESS,JUBARTE,Petrobras,480000035609749,2023/01,""7.667,9806"",""0,0000"",""7.667,9806"",""264,3428"",""8.187,18500"",""13.260,4751"",PETROBRAS 58,UEP,744.0,2022/12,Parque das Baleias,24,< 290ºC,""81,017"",""2,04402"",""533,31601"",""40091,4179"",13/03/2023"
"Espírito Santo,Campos,8-JUB-39-ESS,JUBARTE,Petrobras,480000035609749,2023/01,""2.862,6993"",""0,0000"",""2.862,6993"",""125,1240"",""3.875,32100"",""1.857,9794"",PETROBRAS 58,UEP,731.0,2022/12,Parque das Baleias,24,< 290ºC,""81,017"",""2,04402"",""533,31601"",""40091,4179"",13/03/2023"
"Espírito Santo,Campos,6-BRSA-631DB-ESS,JUBARTE,Petrobras,480000035609749,2023/01,""2.895,2614"",""0,0000"",""2.895,2614"",""110,8257"",""3.432,47700"",""3.378,0303"",FPSO CIDADE DE ANCHIETA,UEP,742.0,2022/12,Parque das Baleias,24,< 290ºC,""81,017"",""2,04402"",""533,31601"",""40091,4179"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-90D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.201,4383"",""0,0000"",""1.201,4383"",""43,9717"",""682,30700"",""90,5852"",Petrobras 66 (P-66),UEP,653.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-46-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""740,2256"",""0,0000"",""740,2256"",""88,8247"",""1.378,28900"",""19,7236"",FPSO CIDADE DE SAQUAREMA,UEP,672.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-84D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.297,9108"",""0,0000"",""1.297,9108"",""44,7262"",""694,01400"",""44,2910"",FPSO CIDADE DE MARICÁ,UEP,500.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-85-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""183,8686"",""0,0000"",""183,8686"",""14,6261"",""226,95300"",""186,0958"",FPSO CIDADE DE SAQUAREMA,UEP,477.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,9-BRSA-908D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""284,7977"",""0,0000"",""284,7977"",""14,0649"",""218,24400"",""161,7611"",FPSO CIDADE DE ANGRA DOS REIS,UEP,676.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,4-BRSA-1047-RJS,SUL DE TUPI,Petrobras,48610012913201005,2023/01,""1.298,2894"",""0,0000"",""1.298,2894"",""44,5308"",""690,98200"",""47,2908"",Petrobras 69,UEP,661.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-3D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""12,0608"",""0,0000"",""12,0608"",""0,5663"",""8,78700"",""40,1130"",FPSO CIDADE DE ANGRA DOS REIS,UEP,75.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-11-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""440,4172"",""0,0000"",""440,4172"",""25,1457"",""390,18400"",""842,5217"",FPSO CIDADE DE PARATY,UEP,685.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-15D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""2.037,4206"",""0,0000"",""2.037,4206"",""73,0561"",""1.133,60800"",""83,6251"",FPSO CIDADE DE PARATY,UEP,685.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-22D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.534,3344"",""0,0000"",""1.534,3344"",""59,0902"",""916,90000"",""6,3194"",FPSO CIDADE DE PARATY,UEP,685.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-28D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""1.543,7584"",""0,0000"",""1.543,7584"",""54,1750"",""840,63000"",""150,8652"",FPSO CIDADE DE PARATY,UEP,685.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,7-LL-34D-RJS,SUL DE TUPI,Petrobras,486100038862000,2023/01,""696,7866"",""0,0000"",""696,7866"",""25,1203"",""389,79100"",""0,0000"",Petrobras 67 (P-67),UEP,438.0,2022/02,Área de Sul de Tupi,""30,2"",< 270ºC,""71,809"",""2,00144"",""528,22646"",""38798,0539"",13/03/2023"
"Rio de Janeiro,Santos,4-BRSA-1226-RJS,SUL DE BERBIGÃO,Petrobras,48610012913201005,2023/01,""19.812,3070"",""0,0000"",""19.812,3070"",""362,5894"",""0,00000"",""5,8156"",Petrobras 68,UEP,708.0,2022/03,BERBIGAO-SURURU,""28,4"",< 270ºC,""64,624"",""1,99875"",""527,89964"",""40310,4373"",13/03/2023"
"Espírito Santo,Campos,8-JUB-59D-ESS,JUBARTE,Petrobras,480000035609749,2023/01,""2.533,1297"",""0,0000"",""2.533,1297"",""65,2437"",""2.020,71800"",""229,6811"",PETROBRAS 58,UEP,158.0,2022/12,Parque das Baleias,24,< 290ºC,""81,017"",""2,04402"",""533,31601"",""40091,4179"",13/03/2023"
"Espírito Santo,Campos,6-BRSA-1222A-ESS,JUBARTE,Petrobras,480000035609749,2023/01,""8.849,3037"",""0,0000"",""8.849,3037"",""316,8886"",""9.814,62300"",""8.756,5566"",PETROBRAS 58,UEP,744.0,2022/12,Parque das Baleias,24,< 290ºC,""81,017"",""2,04402"",""533,31601"",""40091,4179"",13/03/2023"
"Espírito Santo,Campos,7-BAZ-3-ESS,JUBARTE,Petrobras,480000035609749,2023/01,""2.630,3005"",""0,0000"",""2.630,3005"",""71,4171"",""2.211,91800"",""1.408,3863"",FPSO CIDADE DE ANCHIETA,UEP,744.0,2022/12,Parque das Baleias,24,< 290ºC,""81,017"",""2,04402"",""533,31601"",""40091,4179"",13/03/2023"
"Espírito Santo,Campos,7-BAZ-4-ESS,JUBARTE,Petrobras,480000035609749,2023/01,""3.997,9371"",""0,0000"",""3.997,9371"",""138,8844"",""4.301,50400"",""9.952,2811"",FPSO CIDADE DE ANCHIETA,UEP,715.0,2022/12,Parque das Baleias,24,< 290ºC,""81,017"",""2,04402"",""533,31601"",""40091,4179"",13/03/2023"
"Espírito Santo,Campos,7-BAZ-8-ESS,JUBARTE,Petrobras,480000035609749,2023/01,""3.292,7969"",""0,0000"",""3.292,7969"",""114,6289"",""3.550,26900"",""3.039,1954"",PETROBRAS 58,UEP,744.0,2022/12,Parque das Baleias,24,< 290ºC,""81,017"",""2,04402"",""533,31601"",""40091,4179"",13/03/2023"
"Espírito Santo,Campos,7-BAZ-9HA-ESS,JUBARTE,Petrobras,480000035609749,2023/01,""2.567,4728"",""0,0000"",""2.567,4728"",""83,3067"",""2.580,16300"",""22,4867"",FPSO CIDADE DE ANCHIETA,UEP,709.0,2022/12,Parque das Baleias,24,< 290ºC,""81,017"",""2,04402"",""533,31601"",""40091,4179"",13/03/2023"
"Rio de Janeiro,Santos,3-BRSA-1322-RJS,AnC_MERO,Petrobras,48610011150201310,2023/01,""1.730,7096"",""0,0000"",""1.730,7096"",""117,2804"",""313,51600"",""4,4223"",FPSO PIONEIRO DE LIBRA,UEP,718.0,2022/10,MERO,""29,6"",< 270ºC,""44,404"",""2,01679"",""530,063"",""22599,2805"",13/03/2023"
